Name,ArcLength
a18,2.02537345461269
ag03,2.01777716259565
ag08,2.01644478009015
ag10,2.01568734304844
ag11,2.03171340031532
ag12,2.01670354066498
ag14,2.01546051845602
ag17,2.01762700529631
ag18,2.01656124208056
ag19,2.01593178636776
ag24,2.02339521542377
ag35,2.02692457858894
ag38,2.02078807091623
ag45c03,2.02097441515396
ah21-9,2.01789977898824
ah7476,2.03804405955447
ah79100c,2.05331628755748
ah79k135,2.04190278307897
ah79k143,2.04678474604621
ah80136,2.04399780267898
ah80140,2.05771698678359
ah81131,2.03824315686295
ah81k144wfklappe,2.11808088985767
ah82150f,2.04878009987225
ah83150q,2.05487297352449
ah88k130,2.04028953843214
ah93k130,2.04816501311845
ah93w174,2.0697347106956
ah93w300,2.17152635516412
ah95160,2.06919438488847
ames01,2.03405048574025
apex16,2.0393461186229
aquilasm,2.03429601809905
arad10,2.04601768477675
arad13,2.05953354007093
as5045,2.04853519408945
b29root,2.09563236281865
b29tip,2.02407866296672
b540ols,2.03226205574414
b707a,2.0426114832828
b707c,2.02803502699734
b707d,2.02104173502166
b707e,2.02182069115758
b737b,2.04536010774693
be50,2.0270323250592
boe106,2.04704122993294
c141b,2.04285909446357
c141d,2.03689727175837
c141e,2.03790058629214
c141f,2.04238718821145
c5b,2.03504545156352
c5d,2.03459682268735
cap21c,2.07578376144005
clarkw,2.04348169544305
clarkyh,2.03894727749999
clarkysm,2.04498909566398
coanda1,2.01873863252038
coanda3,2.02095665758544
cootie,2.03821086367705
cp-080-050,2.06901660052178
cp-100-050,2.07427846732198
cp-180-050,2.16609286358734
curtisc72,2.04494091287683
dae11,2.06147031685749
dae21,2.06033422789509
davis,2.03689352347305
davis-corrected,2.22748649396191
daytonwright6,2.06038176660707
daytonwrightt1,2.0589905928921
dbln526,2.15203292437302
defcnd2,2.05432278056586
defcnd3,2.04324375681809
df102,2.03791872847654
dfvlrr4,2.06034528932899
dga1182,2.01690534836259
doa5,2.06052135501346
dormoy,2.0228557755984
dsma523a,2.04911180970833
dsma523b,2.04851846706177
du84132v,2.05092082297621
du8608418,2.02067228669388
e1210,2.08274530997052
e1211,2.08933733274816
e1212,2.09815068103626
e1213,2.07537875257456
e1233,2.08556467644119
e168,2.03824902885737
e171,2.03190123229385
e182,2.03866662158841
e186,2.02748377044992
e193,2.0369569214244
e197,2.04216752986774
e201,2.03775728951964
e203,2.04280189065006
e207,2.03630605204228
e211,2.03492064469685
e214,2.03960920038438
e216,2.056744708268
e220,2.03417290993741
e224,2.02834668901422
e228,2.0261935380483
e231,2.03767992360423
e266,2.06407516727329
e326,2.04198918685309
e330,2.03470744653536
e333,2.0424771866111
e334,2.0448983119164
e335,2.04246840868757
e336,2.05019634401854
e340,2.05121915247116
e343,2.06043212308223
e344,2.06280022588546
e376,2.05532263590238
e377m,2.06015582031558
e379,2.04480595687137
e387,2.04991240345745
e392,2.12548146554527
e403,2.07393960271182
e423,2.09703442034894
e431,2.05625623549779
e434,2.04800183307704
e472,2.04796462616025
e473,2.06464423522247
e485,2.03761350515558
e520,2.04664546001333
e540,2.05161557374451
e543,2.05998561864043
e544,2.06194003195761
e548,2.0587470344462
e550,2.06281803380236
e551,2.06414825296542
e553,2.0653662419398
e554,2.06686415517432
e558,3.65494011962598
e560,2.07145535241664
e561,2.07748022106742
e562,2.05969522643968
e58,2.03690578730105
e583,2.06259707544592
e585,2.05299485917056
e603,2.40035547564515
e604,2.25047922483411
e63,2.05411793930611
e637,2.04944844604191
e638,2.0822063447157
e642,2.05233158818571
e657,2.06075173261654
e66,2.03667522614453
e664,2.06229180552773
e678,2.07331919417107
e682,2.05349904767956
e694,2.06719290124964
e748,2.08849148437806
e818,2.02352902567248
e836,2.03132246737219
e851,2.02085374722744
e852,2.02757431753669
e856,2.08930099338301
e874,2.05899021853034
e908,2.02107016547142
ea61009,2.02678704737469
ea61012,2.04342109442238
ea81006,2.01480222846044
eh1070,2.01453798962529
eh1590,2.02302033829823
eh2010,2.02871101165249
eh2510,2.03024775948016
eh3012,2.0413000930856
eiffel371,2.05394992748112
eiffel385,2.06154880079516
falcon,2.04779709947042
fg3,2.03816582611283
fx05188,2.07054381067386
fx38153,2.05327382192235
fx60100,2.03365340778905
fx60100sm,2.03371038568629
fx601261,2.04905422232122
fx60160,2.05314045225695
fx60177,2.07012667194147
fx61140,2.04469706158593
fx61147,2.05184108388387
fx61163,2.0551845435337
fx61168,2.05987075999634
fx62k131,2.04431631695149
fx63137sm,2.06710390815759
fx63143,2.04743114825152
fx63145,2.05666299305136
fx63158,2.0599632662827
fx6617a2,2.06462706804281
fx66196v,2.07124859071579
fx66s171,2.06072921203324
fx66s196,2.07136566596299
fx67k170,2.06257212671447
fx68h120,2.04107827923763
fx71120,2.05010112549093
fx711530,2.05276713087373
fx71l150,2.05276713087373
fx72150a,2.08199759906929
fx72150b,2.09393717351222
fx72ls160,2.08637080557895
fx73cl1152,2.08089052448496
fx73k170,2.0643605383073
fx74080,2.02384044324744
fx74130wp2mod,2.03911814006157
fx74modsm,2.0933837019137
fx75193,2.07485844399686
fx76120,2.0417287229042
fx76mp120,2.06789612044022
fx76mp160,2.08194674010731
fx77w153,2.06116644240992
fx77w270,2.13386683679692
fx78k140,2.04654188397713
fx78k140a20,2.04646544601457
fx78pk188,2.06324362836654
fx79l100,2.02756561503643
fx79w470a,2.34799912317862
fx83w160,2.06561524570143
fx83w227,2.10240890140585
fx84w097,2.02940255290414
fx84w140,2.05285330102452
fx84w218,2.10229009983507
fxl142k,2.0458335802878
fxlv152,2.04857127481727
fxs02196,2.07587649488588
giiib,2.02714991394843
giiid,2.02517417149045
giiih,2.01863365885988
giiii,2.02125649593162
giiij,2.02332373969003
giiik,2.02557480706196
glennmartin3,2.06736367015227
glennmartin4,2.07821922958161
goe06k,2.01727134835907
goe09k,2.0023774014642
goe100,2.02230048738512
goe10k,2.005817742401
goe115,2.02827025403521
goe116,2.02842498066392
goe11k,2.0205736417773
goe121,2.03040946882498
goe122,2.02719867703631
goe124,2.03939200061882
goe133,2.03166642814398
goe137,2.03242934156924
goe13k,2.07164096035468
goe14,2.06958525457256
goe140,2.04039755625179
goe142,2.02552758000951
goe14k,2.03775077529744
goe15,2.06922478197276
goe15k,2.05691566170832
goe164,2.04733391654394
goe16k,2.08019078284108
goe174,2.04021449080837
goe176,2.0440686172204
goe178,2.03186951538256
goe182,2.04378373196318
goe187,2.03242354552752
goe188,2.03089597110826
goe199,2.03619801691437
goe207,2.0562591334811
goe210,2.02726334981612
goe227,2.07916993373813
goe228,2.09010887594576
goe239,2.05237281679441
goe240,2.03360472077963
goe241,2.11187469462583
goe242,2.08278163793728
goe244,2.12612253752119
goe264,2.03471787995428
goe274,2.03951903912438
goe277,2.03300262731135
goe278,2.0307428691713
goe279,2.03403007686195
goe282,2.04047935876049
goe290,2.0741987968187
goe298,2.06642242586711
goe29b,2.06141852329086
goe300,2.05062814215147
goe301,2.05519475787522
goe303,2.04903239776943
goe304,2.05384699927542
goe309,2.03321452720739
goe310,2.03312842730316
goe318,2.03531863572098
goe319,2.05739937710397
goe320,2.07274372679119
goe321,2.05155103868434
goe322,2.06269814109236
goe324,2.06649148414996
goe331,2.06287272740706
goe335,2.02886513700013
goe336,2.04167937492491
goe342,2.03782908292068
goe359,2.0389437867202
goe360,2.04639345341741
goe361,2.03496199956267
goe363,2.05382108174632
goe364,2.05913302831252
goe366,2.07646477291659
goe368,2.02683045498969
goe372,2.0222911119406
goe373,2.03402904870585
goe375,2.03162781306674
goe376,2.03288686894717
goe380,2.03340654829861
goe383,2.10005941973989
goe387,2.07102684140683
goe388,2.05737736482069
goe389,2.03669856745999
